w         D[w][0]         D[w][w]
0       -2.793207       -2.793207
1       -2.396603       -2.264402
2       -2.285218       -2.286605
3       -2.256326       -2.255845
4       -2.249030       -2.249004
5       -2.247202       -2.247200
6       -2.246744       -2.246744
7       -2.246630       -2.246630
8       -2.246601       -2.246601
9       -2.246594       -2.246594
10       -2.246592       -2.246592
11       -2.246592       -2.246592
12       -2.246592       -2.246592
13       -2.246592       -2.246592
14       -2.246592       -2.246592
15       -2.246592       -2.246592
